,name,user_id,insta_handle,follow_count
0,HerdiÌs Athena ÃorsteinsdoÌttir,202803290,herdisathena,1954
1,Mathilde Marie Holst Roien,342594072,mathilde_roien,63494
2,JOSEFINE  H. J,2193977,josefinehj,1238613
3,Birta Hlin,5611971,birtahlin,57186
4,Katarina Krebs,14592268,katarinakrebs,53966
5,Kristine TrinkjÃ¦r,447499606,kristinetrinkjaer,77427
6,coco,54517270,chloemonchamp,122446
7,Emilie Malou,228768371,emiliemalou,127710
8,Emma Moldt,622407402,emmamoldt,63485
9,Barbara Egholm,5780713,barbaraegholm,67856
10,Anna Sarlvit,25983225,annasarlvit,117884
11,FILIPPA J. LUDVIG,328945926,filippajuhler,96847
12,Karla Alajdi,54013717,karla_alajdi,74851
13,Ella Karberg Simonsen â›µï¸ğŸğŸŠ,7933735,ellakarberg,213762
14,ANNA E. BJORK JOHANSSON,2020140373,annabjorkjohansson,50404
15,Pernille Teisbaek,175669251,pernilleteisbaek,1453794
16,Emili Sindlev,3665673,emilisindlev,788809
17,Mads Emil Grove MÃ¸ller,17162145,madsdamind,40984
18,simone noa hedal,254535677,simonenoa,73899
19,Mathilde GÃ¸hler,43663840,mathildegoehler,1326585
20,SARAH DAHLing,185539243,sarahdahll,92772
21,Tommy-lee,345869154,tommyleewinkworth,26104
22,Kenneth Nguyen,24240324,kennethnguyen,61515
